Ticker,Company Name,Stock Exchange,Domiciled,Mine Location Country,Mine Location State,Company_Type,Primary_Assets,Secondary_Assets,Notes
LUN,Lundin Mining,TSX,Sweden,"Chile, Brazil, USA, Portugal","Antofagasta, Bahia, AZ",Producer,"Candelaria (Chile - 80%), Chapada (Brazil), Eagle (MI)","Neves-Corvo (Portugal), Zinkgruvan (Sweden)",Geographic diversification; Zinc co-product
IVN,Ivanhoe Mines,TSX,Canada,"DRC, SA",Lualaba,Developer/Producer,"Kamoa-Kakula (DRC - 39.6%), Platreef (SA - developing)",Western Foreland (DRC - exploration),Tier-1 development; Kamoa-Kakula ramping to 800ktpa; High-grade
HBM,Hudbay Minerals,TSX,Canada,"Peru, USA, Canada","Cajamarca, AZ, MB",Producer,"Constancia (Peru), Copper Mountain (BC - 75%), Lalor (MB)","Rosemont (AZ - development), Mason (NV - development)",Base metals focus; Zinc & gold co-products
ERO,Ero Copper,TSX,Canada,Brazil,"Bahia, Minas Gerais",Producer,"MCSA (Caraíba, Pilar, Vermelhos - Brazil)",Tucumã (Brazil - development),High-grade Brazilian producer; Rapid growth; Low political risk in Brazil
CS,Capstone Copper,TSX,Canada,"Mexico, Chile, USA","Sonora, Antofagasta, AZ",Producer,"Pinto Valley (AZ), Cozamin (Mexico), Mantos Blancos (Chile), Santo Domingo (Chile - 70%)","Mantoverde (Chile), Santo Domingo Phase 2",Mid-tier producer; Recent growth through M&A
ZIJMF,Zijin Mining Group,OTC,China,"China, Serbia, DRC, Peru","Fujian, Bor, Kolwezi",Producer,"Bor (Serbia), Kamoa-Kakula (DRC - 39.6%), Timok (Serbia)",Julong (Tibet) Cukaru Peki (Serbia),5th largest producer; Chinese state-affiliated; Gold also major
JIXAY,Jiangxi Copper,OTC,China,"China, Peru, Afghanistan","Jiangxi, Cajamarca",Producer & Processor,"Dexing (China), Yongping (China), Las Bambas (Peru - 22.5% via MMG)",Aynak (Afghanistan - suspended),China's largest producer; Smelting & refining; SOE
MMG,MMG Limited,HKEX,China,"DRC, Peru, Australia","Lualaba, Cajamarca, NT",Producer,"Las Bambas (Peru - 62.5%), Kinsevere (DRC)",Dugald River (Australia - zinc),China Minmetals 68% owned; Las Bambas transport disputes
GMBXF,Grupo Mexico,OTC,Mexico,"Mexico, Peru, USA","Sonora, Arequipa, AZ",Producer,Parent company of Southern Copper,Asarco (US smelting),Diversified conglomerate; Transportation & infrastructure
CMCL,CMOC Group (China Molybdenum),HKEX,China,"DRC, Brazil, Australia","Lualaba, Bahia",Producer,"Tenke Fungurume (DRC - 80%), Kisanfu (DRC)",Australian phosphate & niobium,Cobalt major producer; Acquired from Freeport
COPX,Global X Copper Miners ETF,NYSE Arca,United States,Global,N/A,ETF,Tracks copper mining companies globally,N/A,Most liquid copper miners ETF; ~40 holdings
COPP,Horizons Copper Producers Index ETF,TSX,Canada,Global,N/A,ETF,Tracks Nasdaq Sprott Copper Miners Index,N/A,Canadian copper ETF; Pure-play focus
COPJ,Sprott Junior Copper Miners ETF,NASDAQ,United States,Global,N/A,ETF,Junior and mid-cap copper miners,N/A,Focus on growth & exploration companies
CPER,United States Copper Index Fund,NYSE Arca,United States,Global,N/A,ETF,Copper futures contracts,N/A,Direct copper price exposure; Not mining stocks
REMX,VanEck Rare Earth/Strategic Metals ETF,NYSE Arca,United States,Global,N/A,ETF,Rare earths & strategic metals including copper,N/A,Broader critical minerals exposure
FQVLF,First Quantum Minerals,OTC,Canada,"Zambia, Peru, Panama","Copperbelt, Cajamarca",Producer,"Kansanshi, Sentinel (Zambia), Cobre Panama (suspended)",Las Cruces (Spain),OTC ticker for FM.TO
TKO,Taseko Mines,TSX,Canada,"Canada, USA","BC, AZ",Producer,Gibraltar (BC - 87.5%),Florence Copper (AZ - development ISR),Molybdenum co-product; Florence = in-situ recovery
III,Imperial Metals,TSX,Canada,Canada,British Columbia,Producer,"Red Chris (30% - Newmont 70%), Mount Polley (100%)",Huckleberry (care & maintenance),BC-focused; Tailings dam issues at Mount Polley 2014
SLS,Solaris Resources,TSX,Ecuador,Ecuador,Imbabura,Developer,Warintza (Ecuador - discovery),Ricardo (Peru - early stage),High-grade discovery; Major shareholder backing
NGEX,NGEx Minerals,TSX,Argentina,Argentina,San Juan,Exploration,Los Helados (Argentina-Chile border),Lunahuasi,Sister company to NGEx Resources; Lundin family backed
NCX,NorthIsle Copper and Gold,TSX.V,Canada,Canada,British Columbia,Developer,North Island (BC),Hushamu (BC),Vancouver Island projects; Porphyry targets
WRN,Western Copper and Gold,TSX,Canada,Canada,Yukon,Developer,Casino (Yukon - one of world's largest undeveloped),None,Major Yukon project; Indigenous partnerships critical
FOM,Foran Mining,TSX,Canada,Canada,Saskatchewan,Developer,McIlvenna Bay (SK - advancing to construction),Hanson Lake (SK),High-grade VMS; Saskatchewan focused
IE,Ivanhoe Electric,TSX,United States,USA,Arizona,Developer,Santa Cruz (AZ - developing),Tintic (UT - exploration),Subsidiary of Ivanhoe group; Robert Friedland backed
LUG,Lundin Gold,TSX,Ecuador,Ecuador,Zamora-Chinchipe,Producer,Fruta del Norte (gold primary - copper credits),None,Gold primary; Some copper in concentrate
DPM,DPM Metals,TSX,Multiple,Multiple,Multiple,Producer,Gold primary with copper byproduct,Seabee Gold (SK),Formerly Dundee Precious Metals; Gold focus
OLA,Orla Mining,TSX,Mexico,Mexico,Sonora,Producer,Camino Rojo (gold primary),Cerro Quema (Panama - copper-gold),Gold primary; Copper secondary
KNT,K92 Mining,TSX,Papua New Guinea,Papua New Guinea,Eastern Highlands,Producer,Kainantu (gold primary with copper),None,Gold primary; High-grade underground
CG,Centerra Gold,TSX,Multiple,"Canada, Turkey","ON, Çanakkale",Producer,Mount Milligan (BC - gold-copper),Öksüt (Turkey - gold),Gold primary; Copper byproduct
NGD,New Gold,TSX,Multiple,"Canada, USA","BC, CO",Producer,New Afton (BC - gold-copper),"Rainy River (ON - gold), Cerro San Pedro (Mexico - closed)",Gold-copper; Block cave mining
ALS,Altius Minerals,TSX,Canada,Multiple,Multiple,Royalty,Royalty company - multiple copper assets,Base metals & potash royalties,Diversified royalty; Not operator
EMX,EMX Royalty,TSX.V,Multiple,Global,Multiple,Royalty,Royalty & exploration - copper focus,Gold & other metals,Royalty generator; Partnership model
ELEC,Electric Royalties,TSX.V,Multiple,Global,Multiple,Royalty,Battery metals & copper royalties,Lithium & nickel,EV-focused royalty company
ATX,ATEX Resources,TSX.V,Canada,Peru,Cajamarca,Exploration,Valeriano (Peru - porphyry),None,Early-stage; Peruvian focus
ASCU,Arizona Sonoran Copper,TSX,United States,USA,Arizona,Developer,"Cactus (AZ - past producer, restarting)",Parks/Salyer (AZ),Arizona-focused; Near-term production
AHR,Amarc Resources,TSX.V,Canada,Canada,British Columbia,Exploration,IKE (BC - porphyry),DUKE (BC),BC porphyry explorer; Imperial Metals partnership
KDK,Kodiak Copper,TSX.V,Canada,Canada,British Columbia,Exploration,"MPD (BC), Gate (BC)",Mohave (AZ),BC porphyry focus; Multiple projects
MARI,Marimaca Copper,TSX,Chile,Chile,Antofagasta,Developer,Marimaca (Chile - oxide heap leach),Ivan (Chile),Chilean oxide copper; Near-term production
TMQ,Trilogy Metals,TSX,United States,USA,Alaska,Developer,Bornite (AK - high-grade),Arctic (AK - zinc-copper),Alaska projects; South32 partnership
AMRQ,Amaroq,TSX.V,Canada,Greenland,Kujalleq,Exploration,Nalunaq (Greenland - gold),Stendalen (copper-gold),Greenland focus; Gold primary
FFM,FireFly Metals,TSX,Canada,Multiple,Multiple,Developer,Green Giant (BC - VMS),Others in portfolio,VMS focus; BC & elsewhere
MTAL,MAC Copper,NYSE,Argentina,Argentina,Neuquén,Developer,Esperanza Sur (Argentina),None,Argentinian porphyry; Early-stage NYSE listing
ARG,Amerigo Resources,TSX,Chile,Chile,O'Higgins,Producer,MVC (Chile - El Teniente tailings),None,Tailings reprocessing; Codelco's El Teniente tailings
NICU,Magna Mining,TSX.V,Canada,Canada,Ontario,Developer,Crean Hill (ON - nickel-copper restart),Shakespeare (ON),Sudbury nickel-copper; Restart play
TLO,Talon Metals,TSX,United States,USA,Minnesota,Developer,Tamarack (MN - nickel-copper-PGM),None,Nickel primary; Copper byproduct; Tesla offtake
FMT,Fuerte Metals,TSX.V,Peru,Peru,Arequipa,Exploration,Ilo Norte (Peru - IOCG),None,Peru-focused; Early-stage
FDY,Faraday Copper,TSX,United States,USA,Arizona,Developer,Copper Creek (AZ - porphyry),None,Arizona porphyry; Advancing to PFS
SAU,St Augustine Gold & Copper,TSX,Multiple,"Philippines, USA","Mindanao, NM",Developer,King-king (Philippines - gold-copper),Minas de Cobre (NM),Philippines primary; Permitting stage
AMX,Amex Exploration,TSX.V,Canada,Canada,Quebec,Exploration,Perron (QC - gold),None,Gold primary; Abitibi
ALDE,Aldebaran Resources,TSX.V,Argentina,Argentina,San Juan,Exploration,Altar (Argentina - porphyry - 80%),None,Sister to Regulus; Sibanye-Stillwater 20%
MNO,Meridian Mining,TSX,Brazil,Brazil,Mato Grosso,Exploration,Cabaçal (Brazil - VMS copper-gold),Santa Helena (gold),Brazilian VMS; Copper-gold
REG,Regulus Resources,TSX.V,Argentina,Argentina,San Juan,Exploration,AntaKori (Peru-Argentina border - porphyry),None,Sister to Aldebaran; Lundin-backed
OM,Osisko Metals,TSX,Canada,Canada,Quebec,Developer,Pine Point (NWT - zinc-lead),Gaspe Copper (QC - historical),Zinc primary; Gaspe Copper past producer
BRVO,Bravo Mining,TSX.V,Brazil,Brazil,Bahia,Exploration,Luanga (Brazil - PGE-nickel-copper),None,PGE primary; Copper byproduct
ETG,Entrée Resources,TSX,Mongolia,Mongolia,Ömnögovi,Developer,Entrée/Oyu Tolgoi JV (Mongolia - 20% interest),None,20% interest in portions of Oyu Tolgoi; Rio Tinto operator
MOON,Blue Moon Metals,TSX.V,Canada,Canada,Newfoundland,Exploration,Yava (NL - copper-silver),None,Newfoundland VMS; Copper-silver
CUU,Copper Fox Metals,TSX.V,Canada,Canada,British Columbia,Developer,Schaft Creek (BC - 25% - Teck 75%),Van Dyke (AZ - oxide),Teck back-in right on Schaft Creek
LA,Los Andes Copper,TSX.V,Chile,Chile,Valparaiso,Developer,Vizcachitas (Chile - large-scale porphyry),None,Major Chilean porphyry; Permitting challenges
MMA,Midnight Sun Mining,TSX.V,Canada,Canada,British Columbia,Exploration,Otter (BC - high-grade vein),None,BC high-grade vein; Historical production
AAG,Aftermath Silver,TSX.V,Bolivia,Bolivia,Potosí,Developer,Berenguela (Bolivia - silver-copper-zinc),None,Silver primary; Copper-zinc byproduct
SFR,Sandfire Resources America,TSX.V,United States,USA,Montana,Developer,Black Butte (MT - underground copper),None,Sandfire Resources subsidiary; Johnny Lee deposit
SICO,Silverco Mining,TSX.V,Chile,Chile,Antofagasta,Exploration,Copaquire (Chile),None,Chilean exploration; Early-stage
PNPN,Power Metallic Mines,TSX.V,Canada,Canada,Quebec,Exploration,Case Lake (QC - lithium-cesium-tantalum),Lion Zone (copper-PGE-gold),Multi-commodity; Northern Quebec
DBG,Doubleview Gold,TSX.V,Canada,Canada,British Columbia,Exploration,Hat (BC - copper-gold porphyry),None,BC Golden Triangle; Porphyry target
HCH,Hot Chili,TSX.V,Chile,Chile,Atacama,Developer,Costa Fuego (Chile - multiple deposits),Cortadera,Chilean coastal copper; Multiple projects
KRY,Koryx Copper,TSX.V,Canada,Canada,British Columbia,Exploration,Haib (Namibia - sold); Now Canada focus,None,Formerly Namibian; Now BC projects
BIG,Hercules Metals,TSX.V,United States,USA,Idaho,Exploration,Lion (ID - porphyry discovery),None,Idaho porphyry; Recent discovery
ZNG,Group Eleven Resources,TSX.V,Ireland,Ireland,Munster,Exploration,PG West (Ireland - zinc-lead-silver),None,Irish zinc-lead; Copper credits
SURG,Surge Copper,TSX.V,Canada,Canada,British Columbia,Developer,Berg (BC - porphyry),Ootsa (BC),BC porphyry; Berg advancing
NIM,Nicola Mining,TSX.V,Canada,Canada,British Columbia,Producer,New Craigmont (BC - historical restart),Treasure Mountain (BC),BC restart play; Milling operations
EMO,Emerita Resources,TSX.V,Spain,Spain,Huelva,Exploration,"IBW (Spain - zinc-copper), Aznalcóllar (Spain)",La Infanta (Spain),Iberian Pyrite Belt focus; Spanish projects
NEXM,NexMetals Mining,TSX.V,United States,USA,Arizona,Exploration,Superior West (AZ - historical mine area),None,Arizona copper; Near Resolution project
CYG,Cygnus Metals,TSX.V,Australia,Australia,Western Australia,Exploration,Investigator (WA - copper-gold),None,WA explorer; Early-stage
MOG,Mogotes Metals,TSX.V,Mexico,Mexico,Zacatecas,Exploration,Filo de la Blanca (Mexico - porphyry),None,Mexican porphyry; Early-stage
ECU,Element 29 Resources,TSX.V,Peru,Peru,Junín,Exploration,Elida (Peru - porphyry discovery),None,Peruvian porphyry; Recent discovery
GCU,Gunnison Copper,TSX,United States,USA,Arizona,Developer,Johnson Camp (AZ - Nuton in-situ recovery),None,Rio Tinto Nuton technology; AWS partnership for low-carbon copper
VCU,Vizsla Copper,TSX.V,Canada,Canada,British Columbia,Exploration,Woodjam (BC - porphyry),None,BC porphyry; Multiple targets
FTZ,Fitzroy Minerals,TSX.V,Chile,Chile,Coquimbo,Exploration,Caballos (Chile - porphyry),None,Chilean porphyry; Early-stage exploration
BLLG,Blue Lagoon Resources,CSE,Canada,Canada,British Columbia,Exploration,Dome Mountain (BC - gold-copper-silver),None,BC historical mine; Gold primary
PML,Panoro Minerals,TSX.V,Peru,Peru,Arequipa,Exploration,Cotabambas (Peru - porphyry - 51% Mitsubishi 49%),Antilla (Peru),Peruvian porphyry; JV with Mitsubishi
ATCU,Alta Copper,TSX,Multiple,"USA, Australia","MI, SA",Developer,Candelaria (Chile - development sold),Others,Portfolio of copper projects; Previously Coro Mining
CCCM,C3 Metals,TSX.V,Jamaica,Jamaica,Saint Catherine,Exploration,Jaspoid (Jamaica - high-grade),None,Jamaica copper-gold; High-grade discovery
LRA,Lara Exploration,TSX.V,Brazil,Brazil,Multiple states,Exploration,Celeste (Brazil - IOCG),Multiple early-stage,Generative explorer; Brazil focus
GLAD,Gladiator Metals,TSX.V,Canada,Canada,British Columbia,Exploration,Whitehorse (BC - high-grade copper discovery),None,BC high-grade copper; Recent discovery drilling
OCO,Oroco Resource,TSX.V,Mexico,Mexico,Sinaloa,Exploration,Santo Tomas (Mexico - large-scale porphyry),None,Mexican porphyry; Near Teck's San Nicolas
VML,Viscount Mining,TSX.V,United States,USA,Nevada,Exploration,Silver Cliff (NV - gold-silver-copper),None,Nevada exploration; Early-stage
AE,American Eagle,TSX.V,Canada,Canada,British Columbia,Exploration,NAK (BC - porphyry),None,BC porphyry; Southern drill targets expanding
HI,Highland Copper,TSX.V,United States,USA,Michigan,Developer,Copperwood (MI - underground development),White Pine (MI),Michigan copper; Keweenaw Peninsula
NWST,Northwest Copper,TSX.V,Canada,Canada,British Columbia,Exploration,"Kwanika (BC - porphyry), Stardust (BC)",None,BC porphyry explorer; Multiple projects
AMC,Arizona Metals,TSX,United States,USA,Arizona,Exploration,Kay (AZ - high-grade VMS discovery),None,Arizona VMS; High-grade copper-zinc-gold-silver
MSR,Minsud Resources,TSX.V,Argentina,Argentina,Multiple provinces,Exploration,Chita Valley (Argentina - copper-gold porphyry),None,Argentinian explorer; Multiple targets
CCI,Canadian Copper,CSE,Canada,Canada,British Columbia,Exploration,Murray (BC - historical),None,BC explorer; Early-stage
ARK,Arras Minerals,TSX.V,Kazakhstan,Kazakhstan,Karagandy,Exploration,Beskauga (Kazakhstan - copper-gold),None,Kazakhstan copper-gold; Central Asia focus
ADY,Adyton Resources,TSX.V,Ecuador,Ecuador,Azuay,Exploration,Rio Blanco (Ecuador - porphyry),None,Ecuador porphyry; Early-stage
AMQ,Abitibi Metals,CSE,Canada,Canada,Quebec,Exploration,B26 (QC - polymetallic),None,Quebec Abitibi; Multiple metals
SCMI,Selkirk Copper,TSX.V,Australia,Australia,Queensland,Exploration,Wernecke (YT - sold); Now Australia focus,None,Queensland copper; Changed from Yukon focus
LEO,Lion Copper and Gold,CSE,Canada,Canada,Quebec,Exploration,Langis (ON - silver-cobalt historical),Lion Zone (copper-PGE),Multi-commodity; Historical mines
AXO,Axo Copper,TSX.V,Canada,Canada,British Columbia,Exploration,Sturgeon (BC - porphyry),None,BC porphyry; Early-stage
CTM,Canterra Minerals,TSX.V,Canada,Canada,Newfoundland,Exploration,Buchans (NL - historical VMS),Multiple NL projects,Newfoundland VMS; Historical high-grade
MMG,Metallic Minerals,TSX.V,United States,USA,Alaska,Exploration,Keno Hill (YT - silver-lead-zinc),La Plata (CO - silver-gold-copper),Silver primary; Multiple projects
CGNT,Copper Giant Resources,TSX.V,Canada,Canada,British Columbia,Exploration,Giant (BC - historical),None,BC historical mine; Restarting exploration
SAG,Sterling Metals,TSX.V,Canada,Canada,Newfoundland,Exploration,Sail Pond (NL - copper),Sailboat Lake (ON - gold),Newfoundland copper; Early-stage
STCU,Star Copper,CSE,Canada,Canada,British Columbia,Exploration,Frasergold (BC),None,BC copper; Early-stage
CDB,Cordoba Minerals,TSX.V,Colombia,Colombia,Córdoba,Exploration,San Matias (Colombia - copper-gold porphyry),Alacran (Colombia),Colombian porphyry; Large-scale target
COPR,Coppernico Metals,TSX,Canada,Canada,British Columbia,Exploration,Sombrero (BC - porphyry),None,BC porphyry; Historical exploration
DLP,DLP Resources,TSX.V,Canada,Canada,British Columbia,Exploration,Multiple BC projects,None,BC explorer; Early-stage
QZM,Quartz Mountain Resources,TSX.V,United States,USA,Oregon,Exploration,Quartz Mountain (OR - porphyry),None,Oregon porphyry; Early-stage
RTG,RTG Mining,TSX,Philippines,Philippines,Mindanao,Developer,Mabilo (Philippines - porphyry - suspended),None,Philippines copper; Previously Laos (Khanong sold)
CNRI,Canadian North Resources,TSX.V,Canada,Canada,British Columbia,Exploration,Ferguson Lake (Nunavut - nickel-copper-PGE - sold),BC now,Refocused to BC; Previously Nunavut
TTS,Tintina Mines,TSX.V,United States,USA,Alaska,Exploration,Black Butte (AK - copper-gold - different from Montana),None,Alaska exploration; Early-stage
YMC,Yukon Metals,CSE,Canada,Canada,Yukon,Exploration,Copperview (YT),None,Yukon copper; Early-stage
PGZ,Pan Global Resources,TSX.V,Spain,Spain,Huelva,Exploration,Escacena (Spain - VMS),None,Iberian Pyrite Belt; Spanish VMS
COR,Camino Minerals,TSX.V,Peru,Peru,Arequipa,Exploration,Los Chapitos (Peru - copper-molybdenum),Plata Dorada (Peru - gold-silver),Peruvian explorer; Multiple projects
KLDC,Kirkland Lake Discoveries,TSX.V,Canada,Canada,Quebec,Exploration,Goodchild (QC - polymetallic),None,Quebec explorer; Multiple targets
NMC,Nuvau Minerals,TSX.V,Canada,Canada,Quebec,Exploration,Quinto (QC - lithium-copper),None,Quebec; Multiple commodities
DMET,Denarius Metals,CBOE,Multiple,"Spain, Colombia","Huelva, Córdoba",Developer,Lomero-Poyatos (Spain - VMS restart),Zancudo (Colombia),Spanish VMS restart; Colombian project
INTR,Intrepid Metals,TSX.V,United States,USA,Arizona,Exploration,Tombstone (AZ - historical district),None,Arizona exploration; Historical district
TSLV,Tier One Silver,TSX.V,Peru,Peru,Ayacucho,Exploration,Curibaya (Peru - silver-copper-gold),None,Peruvian silver-copper; Epithermal & porphyry
ATY,Atico Mining,TSX.V,Colombia,Colombia,Chocó,Producer,La Plata (Colombia - copper-gold),None,Colombian copper-gold; Small producer
USGD,American Pacific Mining,CSE,United States,USA,Nevada,Exploration,Madison (NV - copper-gold),None,Nevada copper-gold; Early-stage
KCC,Kincora Copper,TSX.V,Australia,"Australia, Mongolia","NSW, Ömnögovi",Exploration,"Bronze Fox (NSW), Nyngan (NSW)",Mongolian projects,Australia & Mongolia; Porphyry focus
B,BCM Resources,TSX.V,Canada,Canada,British Columbia,Exploration,Thompson Knolls (BC),None,BC exploration; Early-stage
VRDN,Viridian Metals,CSE,Canada,Canada,British Columbia,Exploration,Titan (BC - porphyry),None,BC porphyry; Early-stage
CAM,Cascadia Minerals,TSX.V,Canada,Canada,Yukon,Exploration,Carmacks (YT - copper-gold),None,Yukon copper-gold; Drilling expansion
TWR,Tower Resources,TSX.V,Canada,Canada,British Columbia,Exploration,Rabbit North (BC - copper-gold porphyry),None,BC porphyry; Early-stage
GRDM,Grid Metals,TSX.V,Canada,Canada,Manitoba,Exploration,Donner Lake (MB - nickel-copper-PGE),None,Manitoba nickel-copper; Palladium byproduct
FNC,Fancamp Exploration,TSX.V,Canada,Canada,Quebec,Exploration,Multiple QC projects,None,Quebec explorer; Early-stage multiple projects
AUCU,Inflection Resources,CSE,Canada,Canada,British Columbia,Exploration,Porphyry targets BC,None,BC porphyry; Early-stage
PEMC,Pacific Empire Minerals,TSX.V,Canada,Canada,British Columbia,Exploration,Wildcat (BC - copper-gold porphyry),None,BC porphyry; Multiple targets
XXIX,XXIX Metal,TSX.V,Canada,Canada,British Columbia,Exploration,Thane (BC - copper-gold porphyry),None,BC porphyry; Early-stage
MAX,Max Resource,TSX.V,Colombia,Colombia,Caldas,Exploration,CESAR (Colombia - copper-silver),None,Colombian exploration; CESAR basin
PEAK,Sun Peak Metals,TSX.V,Canada,Canada,British Columbia,Exploration,Omineca (BC - copper-gold porphyry),None,BC porphyry; Central BC
IDEX,IDEX Metals,TSX.V,United States,USA,Idaho,Exploration,Freeze (ID - porphyry),None,Idaho porphyry; Large-scale target
BBB,Brixton Metals,TSX.V,Canada,Canada,British Columbia,Exploration,Thorn (BC - copper-gold-silver),None,BC Golden Triangle; Multiple targets
BMR,Battery Mineral Resources,TSX.V,Canada,Canada,Ontario,Exploration,Pakeagama Lake (ON - copper-nickel-PGE),None,Ontario battery metals; Copper component
LMS,Latin Metals,TSX.V,Multiple,"Argentina, Peru",Multiple,Exploration,Multiple South American projects,None,South America explorer; Early-stage
MUN,Mundoro,TSX.V,Serbia,Serbia,Timok,Exploration,Timok (Serbia - copper-gold),None,Serbian explorer; Timok district
VUL,Vulcan Minerals,TSX.V,Canada,Canada,Newfoundland,Exploration,Red Cliff (NL - copper),None,Newfoundland copper; Historical area
BEX,Benton Resources,TSX.V,Canada,Canada,Quebec,Exploration,Great Burnt (NL - copper),None,Newfoundland & Quebec; Multiple targets
KFR,Kingfisher Metals,TSX.V,Canada,Canada,British Columbia,Exploration,Williams (BC - copper-gold porphyry),None,BC Golden Triangle; Large porphyry
USCU,US Copper,TSX.V,United States,USA,Idaho,Developer,Moonlight (ID - copper-silver),None,Idaho copper-silver; Historical mine
IGO,Independence Gold,TSE.V,Canada,Canada,British Columbia,Exploration,3Ts (BC - gold-copper),None,BC gold-copper; Multiple targets
VMXX,Valhalla Metals,TSX.V,Canada,Canada,British Columbia,Exploration,Odin (BC - copper-gold),None,BC copper-gold; Early-stage
TORQ,Torq Resources,TSX.V,Chile,Chile,Maricunga,Exploration,Santa Cecilia (Chile - copper-gold-silver),Margarita (Chile),Chilean explorer; Porphyry & IOCG
GRL,GreenLight Metals,TSX.V,Canada,Canada,Ontario,Exploration,Viper (ON - base metals),None,Ontario base metals; Early-stage
AVE,Aventis Energy,CSE,Canada,Canada,British Columbia,Exploration,Copper projects BC,None,BC copper; Early-stage
CUPR,Super Copper,CSE,Canada,Canada,British Columbia,Exploration,Thane South (BC),None,BC exploration; Early-stage
TM,Trigon Metals,TSX.V,Namibia,Namibia,Otjozondjupa,Developer,Kombat (Namibia - copper-silver restart),None,Namibian copper restart; Small-scale
TRBC,Tribeca Resources,TSX.V,Canada,Canada,British Columbia,Exploration,BC projects,None,BC exploration; Early-stage
BMET,BeMetals,TSX.V,Multiple,"Japan, Zambia","Akita, Copperbelt",Developer,South Mountain (ID - sedex zinc-silver - sold),Pangeni (Zambia - copper),Zambian copper; Japanese zinc sold
BFG,Giant Mining,CSE,Canada,Canada,British Columbia,Exploration,Majuba Hill (NV - copper-silver),None,Nevada copper-silver; Historical mine
NINE,Nine Mile Metals,CSE,Canada,Canada,New Brunswick,Exploration,California Lake (NB - VMS),None,New Brunswick VMS; Copper-zinc-lead-silver
HPM,Halcones Precious Metals,TSX.V,Mexico,Mexico,Jalisco,Exploration,Jalisco projects (Mexico - gold-silver-copper),None,Mexican explorer; Gold-silver primary
SAE,Sable Resources,TSX.V,Multiple,"Mexico, Argentina",Multiple,Exploration,Don Julio (Mexico - gold-silver-copper),Multiple projects,Mexican & Argentinian explorer
PEX,Pacific Ridge Exploration,TSX.V,Canada,Canada,British Columbia,Exploration,Kliyul (BC - copper-gold porphyry),None,BC porphyry; Multiple targets
BAY,Aston Bay,TSX.V,Canada,Canada,Nunavut,Exploration,Storm (NU - copper-silver-zinc-gold),None,Nunavut VMS; High-grade copper-silver
KBX,Kobrea Exploration,CSE,Canada,Canada,British Columbia,Exploration,BC projects,None,BC exploration; Early-stage
